TyreLife,compound_encoded,lap_time_delta,deg_rate,GapToAhead,GapToBehind,laps_remaining,fuel_adjusted_laptime,pit_window_open,safety_car_active,TrackTemp,Position,pit_decision
13.0,1,1.3259999999999934,0.09749999999999735,4.021,3.947,45.0,91.164,0,0,33.7,7,0
14.0,1,1.4519999999999982,0.12100000000000294,4.775,4.662,44.0,91.32000000000001,0,0,33.9,7,0
15.0,1,3.328000000000003,1.0010000000000034,7.451,2.425,43.0,93.226,0,0,33.5,7,1
1.0,0,20.917999999999992,9.732999999999992,0.718,2.629,42.0,110.84599999999999,0,1,33.3,12,1
2.0,0,0.0,-1.8419999999999934,0.449,1.2,41.0,89.60199999999999,0,0,33.4,11,0
3.0,0,0.0,-10.787000000000004,6.158,1.948,40.0,89.332,0,0,33.3,10,0
4.0,0,0.41800000000000637,0.05899999999999609,1.862,3.8,39.0,89.78,0,0,33.3,10,0
5.0,0,0.3569999999999993,0.17850000000001,2.228,4.266,38.0,89.749,0,0,33.2,8,0
6.0,0,0.20900000000000318,-0.10450000000000806,2.305,4.642,37.0,89.631,0,0,33.1,8,0
7.0,0,0.277000000000001,-0.040000000000003914,2.32,4.832,36.0,89.729,0,0,33.0,8,0
8.0,0,0.3930000000000007,0.09199999999999481,1.131,4.84,35.0,89.875,0,0,33.0,8,0
9.0,0,0.20100000000000762,-0.037999999999998015,3.289,1.63,34.0,89.71300000000001,0,0,32.9,7,0
10.0,0,0.38800000000000523,-0.002499999999997373,4.062,5.631,33.0,89.93,0,0,33.3,7,0
11.0,0,0.5829999999999984,0.19099999999999318,4.807,5.61,32.0,90.155,0,0,32.9,7,0
12.0,0,0.39800000000001035,0.005000000000001918,5.655,5.777,31.0,90.0,0,0,33.0,7,0
13.0,0,0.5330000000000013,-0.025000000000013733,6.552,5.803,30.0,90.16499999999999,0,0,32.8,7,0
14.0,0,0.695999999999998,0.14899999999999644,7.667,5.604,29.0,90.35799999999999,0,0,32.5,7,0
15.0,0,0.5769999999999982,0.021999999999994184,8.543,5.586,28.0,90.26899999999999,0,0,32.8,7,0
16.0,0,0.6839999999999975,-0.006000000000008342,9.809,5.529,27.0,90.40599999999999,0,0,32.8,7,0
17.0,0,0.612000000000009,0.017500000000012037,10.812,5.464,26.0,90.364,0,0,32.9,7,0
18.0,0,0.51400000000001,-0.08499999999999408,11.893,5.461,25.0,90.296,0,0,32.9,7,0
19.0,0,0.5559999999999974,-0.028000000000006603,3.188,5.48,24.0,90.368,0,0,32.8,7,0
20.0,0,0.33899999999999864,-0.08750000000001233,4.847,5.642,23.0,90.181,0,0,32.7,7,0
21.0,0,0.777000000000001,0.1105000000000064,6.957,5.451,22.0,90.649,1,0,32.6,7,0
22.0,0,0.2890000000000015,-0.024999999999995748,8.713,5.413,21.0,90.191,1,0,32.6,7,0
23.0,0,0.6140000000000043,-0.08150000000000039,10.706,5.055,20.0,90.546,1,0,32.5,7,0
24.0,0,0.6910000000000025,0.20099999999999835,12.458,4.824,19.0,90.653,1,0,32.6,7,0
25.0,0,0.9699999999999989,0.17800000000000163,1.243,4.323,18.0,90.96199999999999,1,0,32.7,6,0
26.0,0,0.534000000000006,-0.07850000000000305,2.772,5.508,17.0,90.556,1,0,32.4,6,0
27.0,0,2.5649999999999977,0.7974999999999995,6.551,1.48,16.0,92.61699999999999,1,0,32.4,6,1
1.0,1,18.97500000000001,9.220500000000005,19.132,3.296,15.0,109.057,0,1,32.4,7,1
2.0,1,0.0,-2.3530000000000113,18.681,4.284,14.0,87.971,0,0,32.4,7,0
3.0,1,0.29699999999999704,-10.409500000000003,18.522,4.929,13.0,88.298,0,0,32.3,7,0
4.0,1,0.3999999999999915,0.1999999999999939,18.394,5.559,12.0,88.431,0,0,32.1,7,0
5.0,1,0.08699999999998909,-0.10500000000000963,18.0,6.47,11.0,88.148,0,0,32.0,7,0
6.0,1,0.8299999999999983,0.2150000000000009,18.385,6.956,10.0,88.921,0,0,32.0,7,0
7.0,1,0.5649999999999977,0.23900000000000826,18.343,7.641,9.0,88.686,0,0,32.3,7,0
8.0,1,1.1039999999999992,0.13700000000000045,18.834,7.994,8.0,89.25500000000001,0,0,31.9,7,0
9.0,1,1.1049999999999898,0.2700000000000038,19.292,8.0,7.0,89.286,0,0,32.0,7,0
10.0,1,1.3939999999999912,0.14499999999998722,20.096,7.826,6.0,89.60499999999999,0,0,32.0,7,0
11.0,1,1.7729999999999961,0.33399999999999647,20.859,7.168,5.0,90.014,0,0,32.1,7,0
12.0,1,2.239999999999995,0.42299999999999965,21.662,5.971,4.0,90.511,0,0,31.9,7,0
13.0,1,2.4339999999999975,0.3305000000000085,21.33,4.637,3.0,90.735,0,0,31.9,6,0
14.0,1,2.539999999999992,0.1499999999999905,21.044,3.431,2.0,90.871,0,0,31.9,6,0
15.0,1,2.492999999999995,0.029499999999999686,20.763,2.121,1.0,90.854,0,0,32.0,6,0
16.0,1,2.7449999999999903,0.1024999999999919,20.346,1.006,0.0,91.136,1,0,32.0,6,0
1.0,1,0.0,0.0,0.491,0.738,57.0,95.745,0,1,34.8,9,0
2.0,1,0.0,0.0,0.679,0.743,56.0,90.64399999999999,0,0,34.9,9,0
3.0,1,0.0,-2.9835,0.782,0.794,55.0,89.838,0,0,34.9,9,0
4.0,1,0.0,-0.4424999999999999,0.794,0.973,54.0,89.81899999999999,0,0,34.3,9,0
5.0,1,0.3470000000000084,0.14900000000000083,0.858,0.825,53.0,90.196,0,0,34.0,9,0
6.0,1,0.5260000000000105,0.2629999999999932,0.841,0.895,52.0,90.405,0,0,34.0,9,0
7.0,1,0.24900000000000944,-0.04899999999999939,0.767,1.043,51.0,90.158,0,0,34.5,9,0
8.0,1,1.2150000000000034,0.34449999999999725,0.71,0.916,50.0,91.154,0,0,34.0,9,0
9.0,1,1.2420000000000044,0.49649999999999556,0.799,0.687,49.0,91.211,0,0,34.0,9,0
10.0,1,1.0720000000000027,-0.07150000000000667,0.733,0.738,48.0,91.071,0,0,34.0,9,0
11.0,1,1.0460000000000065,-0.09800000000000228,0.825,0.904,47.0,91.075,0,0,33.9,9,0
12.0,1,1.1680000000000064,0.047999999999997864,0.687,0.724,46.0,91.227,0,0,33.9,9,0
13.0,1,1.3050000000000068,0.12950000000000367,0.68,0.546,45.0,91.394,0,0,33.7,9,0
14.0,1,1.2360000000000042,0.03399999999998269,4.662,0.763,44.0,91.355,0,0,33.9,8,0
15.0,1,0.8400000000000034,-0.23250000000000826,2.425,0.711,43.0,90.98899999999999,0,0,33.5,8,0
16.0,1,1.7590000000000003,0.26149999999999946,11.005,0.513,42.0,91.93799999999999,1,0,33.3,5,0
17.0,1,1.5440000000000111,0.3519999999999926,2.244,0.757,41.0,91.753,1,0,33.4,6,0
18.0,1,0.9260000000000019,-0.4164999999999991,4.424,0.933,40.0,91.16499999999999,1,0,33.3,5,0
19.0,1,1.25,-0.14700000000001842,7.315,0.479,39.0,91.51899999999999,1,0,33.3,4,0
20.0,1,1.7010000000000076,0.38749999999999646,2.003,0.667,38.0,92.0,1,0,33.2,5,0
21.0,1,2.1030000000000086,0.42650000000000304,1.938,3.403,37.0,92.432,1,0,33.1,6,0
22.0,1,1.5910000000000082,-0.05500000000001009,4.415,1.167,36.0,91.95,1,0,33.0,6,0
23.0,1,1.842000000000013,-0.13050000000000117,2.064,1.131,35.0,92.23100000000001,1,0,33.0,7,0
24.0,1,2.055000000000007,0.23199999999998755,1.63,3.667,34.0,92.474,1,0,32.9,8,0
25.0,1,3.977000000000004,1.0674999999999972,0.495,4.042,33.0,94.426,1,0,33.3,9,1
2.0,0,22.122000000000014,10.033499999999993,0.575,12.11,32.0,112.60100000000001,0,1,32.9,19,1
3.0,0,0.0,-2.266000000000006,0.605,1.932,31.0,89.954,0,0,32.9,18,0
4.0,0,0.0,-11.41300000000001,1.459,1.067,30.0,89.835,0,0,32.8,16,0
5.0,0,1.2849999999999966,0.5680000000000011,0.44,1.097,29.0,91.14999999999999,0,0,32.9,16,0
6.0,0,0.8329999999999984,0.41650000000000476,3.151,1.826,28.0,90.728,0,0,32.8,15,0
7.0,0,0.2990000000000066,-0.49300000000001154,2.664,2.536,27.0,90.224,0,0,32.9,15,0
8.0,0,0.6280000000000001,-0.10250000000001362,1.957,2.849,26.0,90.583,0,0,32.9,15,0
9.0,0,0.6929999999999978,0.19699999999998882,1.339,2.77,25.0,90.678,0,0,32.9,15,0
10.0,0,0.3610000000000042,-0.1335000000000073,4.841,1.392,24.0,90.376,0,0,32.7,14,0
11.0,0,0.0,-0.5580000000000058,3.319,4.051,23.0,89.622,0,0,32.7,14,0
12.0,0,0.47400000000000375,-0.1549999999999989,2.442,4.656,22.0,90.126,0,0,32.6,13,0
13.0,0,0.3100000000000023,0.1550000000000018,1.78,5.448,21.0,89.992,0,0,32.6,13,0
14.0,0,0.46000000000000796,-0.006999999999995638,1.279,5.926,20.0,90.17200000000001,0,0,32.6,13,0
15.0,0,0.9120000000000061,0.3009999999999996,1.376,5.993,19.0,90.65400000000001,0,0,32.6,12,0
16.0,0,0.43600000000000705,-0.011999999999999657,1.027,6.63,18.0,90.208,0,0,32.7,12,0
17.0,0,0.902000000000001,-0.00500000000000653,0.694,2.683,17.0,90.704,0,0,32.4,11,0
